2,三十三の死,素木 しづ,現代日本文學全集　85　大正小説集,筑摩書房
4,日常生活の美学－モダニズムと『いき』,山本 ゆうじ,,
5,あいびき,ツルゲーネフ イワン,日本文学全集1　坪内逍遥・二葉亭四迷集,集英社
5,あいびき,二葉亭 四迷,日本文学全集1　坪内逍遥・二葉亭四迷集,集英社
6,エア,藤下 真潮,,
7,赤蛙,島木 健作,現代日本文學大系　70　武田麟太郎・島木健作・織田作之助・檀一雄集,筑摩書房
8,赤毛連盟,大久保 ゆう,,
8,赤毛連盟,ドイル アーサー・コナン,,
9,暁と夕の詩,立原 道造,立原道造全集　第1卷　詩集Ⅰ,角川書店
10,秋は淋しい,素木 しづ,素木しづ作品集　山田昭夫編,札幌・北書房
11,秋の瞳,八木 重吉,八木重吉全詩集1,ちくま文庫、筑摩書房
12,悪魔の舌,村山 槐多,村山槐多全集,彌生書房
13,十本の針,芥川 竜之介,或阿呆の一生・侏儒の言葉,角川文庫、角川書店
14,あばばばば,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房
15,アグニの神,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房
16,秋,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房
17,あの頃の自分の事,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房
18,闇中問答,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房
19,或阿呆の一生,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房
20,或旧友へ送る手記,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房
21,浅草公園,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房
22,羅生門の後に,芥川 竜之介,日本の文学　33　羅生門,ほるぷ出版
23,芭蕉雑記,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
24,尾生の信,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房
25,文学好きの家庭から,芥川 竜之介,羅生門・鼻・芋粥,角川文庫、角川書店
26,文芸的な、余りに文芸的な,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
27,文章,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
28,舞踏会,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
29,カルメン,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房
30,父,芥川 竜之介,芥川龍之介全集１,ちくま文庫、筑摩書房
31,偸盗,芥川 竜之介,羅生門・鼻・芋粥・偸盗,岩波文庫、岩波書店
32,大導寺信輔の半生,芥川 竜之介,昭和文学全集　第1巻,小学館
33,第四の夫から,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
34,伝吉の敵打ち,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
35,英雄の器,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房
36,玄鶴山房,芥川 竜之介,昭和文学全集　第1巻,小学館
37,戯作三昧,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
38,戯作三昧,芥川 竜之介,日本の文学　29　芥川龍之介,中央公論社
39,疑惑,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房
40,歯車,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
41,母,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房
42,鼻,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房
43,手巾,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
44,春の心臓,芥川 竜之介,芥川龍之介全集　第一巻,岩波書店
44,春の心臓,イエイツ ウィリアム・バトラー,芥川龍之介全集　第一巻,岩波書店
45,春,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
46,春の夜,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房
47,雛,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
48,本所両国,芥川 竜之介,芥川龍之介全集　第四巻,筑摩書房
49,奉教人の死,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
50,報恩記,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房
51,文放古,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
52,不思議な島,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
53,冬,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房
54,ひょっとこ,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房
55,芋粥,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房
56,犬と笛,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房
57,一夕話,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
58,糸女覚え書,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房
59,邪宗門,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房
60,地獄変,芥川 竜之介,芥川龍之介全集　第一巻,岩波書店
61,地獄変,芥川 竜之介,傀儡師,特選名著復刻全集近代文学館、日本近代文学館
62,十円札,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
63,じゅりあの・吉助,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房
64,影,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房
65,貝殻,芥川 竜之介,芥川龍之介作品集　第四巻,昭和出版社
66,開化の殺人,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房
67,開化の良人,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房
68,神神の微笑,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房
69,河童,芥川 竜之介,河童・或る阿呆の一生,旺文社文庫、旺文社
70,彼,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房
71,彼　第二,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房
72,枯野抄,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房
73,或敵打の話,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房
74,片恋,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房
75,袈裟と盛遠,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房
76,奇遇,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房
77,奇怪な再会,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房
78,金将軍,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
79,きりしとほろ上人伝,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房
80,煙管,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房
81,木曽義仲論,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房
82,古千屋,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房
83,孤独地獄,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
84,子供の病気,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
85,黒衣聖母,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房
86,二人小町,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
87,湖南の扇,芥川 竜之介,昭和文学全集　第1巻,小学館
88,黄粱夢,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房
89,校正後に,芥川 竜之介,羅生門・鼻・芋粥,角川文庫、角川書店
90,好色,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
91,首が落ちた話,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房
92,蜘蛛の糸,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房
93,「鏡花全集」目録開口,芥川 竜之介,筑摩全集類聚版芥川龍之介全集第五巻,筑摩書房
94,LOS CAPRICHOS,芥川 竜之介,芥川龍之介作品集第三巻,昭和出版社
95,魔術,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房
96,松江印象記,芥川 竜之介,羅生門・鼻・芋粥,角川文庫、角川書店
97,Mensura Zoili,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房
98,蜜柑,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
99,水の三日,芥川 竜之介,羅生門・鼻・芋粥,角川文庫、角川書店
100,桃太郎,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
101,毛利先生,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房
102,貉,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房
103,妙な話,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房
104,長崎小品,芥川 竜之介,芥川龍之介作品集第三巻,昭和出版社
105,南京の基督,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
106,葱,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房
107,年末の一日,芥川 竜之介,昭和文学全集　第1巻,小学館
108,鼠小僧次郎吉,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
109,尼提,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房
110,日光小品,芥川 竜之介,羅生門・鼻・芋粥,角川文庫、角川書店
111,庭,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
112,野呂松人形,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房
113,沼地,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房
114,女体,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房
115,尾形了斎覚え書,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房
116,おぎん,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
117,往生絵巻,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房
118,老いたる素戔嗚尊,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房
119,お時儀,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
120,女,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房
121,温泉だより,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房
122,或日の大石内蔵助,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房
123,大川の水,芥川 竜之介,羅生門・鼻・芋粥,角川文庫、角川書店
124,お律と子等と,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房
125,おしの,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
126,お富の貞操,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房
127,羅生門,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房
128,羅生門,芥川 竜之介,新選　名著復刻全集　近代文学館　芥川龍之介著　羅生門　阿蘭陀書房版,ほるぷ出版
129,或恋愛小説,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
130,六の宮の姫君,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
131,老年,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房
132,路上,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房
133,るしへる,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房
134,竜,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房
135,道祖問答,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房
136,西郷隆盛,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房
137,寒さ,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
138,三右衛門の罪,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
139,猿,芥川 竜之介,芥川龍之介全集　第一巻,岩波書店
140,猿蟹合戦,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
141,西方の人,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
142,青年と死,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房
143,仙人,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房
144,仙人,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
145,廿年後之戦争,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
146,死後,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房
147,蜃気楼,芥川 竜之介,昭和文学全集　第1巻,小学館
148,虱,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
149,白,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
150,葬儀記,芥川 竜之介,羅生門・鼻・芋粥,角川文庫、角川書店
151,漱石山房の秋,芥川 竜之介,芥川龍之介作品集　第三巻,昭和出版社
152,早春,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
153,素戔嗚尊,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房
154,捨児,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房
155,少年,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
156,将軍,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房
157,素描三題,芥川 竜之介,芥川龍之介全集　第四巻,筑摩書房
158,侏儒の言葉,芥川 竜之介,芥川龍之介全集7,ちくま文庫、筑摩書房
159,俊寛,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房
160,出帆,芥川 竜之介,羅生門・鼻・芋粥,角川文庫、角川書店
161,酒虫,芥川 竜之介,芥川龍之介全集　第一巻,岩波書店
162,秋山図,芥川 竜之介,日本文学全集28芥川龍之介集,集英社
163,煙草と悪魔,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
164,たね子の憂鬱,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房
165,二つの手紙,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房
166,手紙,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房
167,点鬼簿,芥川 竜之介,昭和文学全集　第1巻,小学館
168,虎の話,芥川 竜之介,芥川龍之介作品集　第四巻,昭和出版社
169,トロツコ,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
170,杜子春,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
171,一塊の土,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
172,樗牛の事,芥川 竜之介,羅生門・鼻・芋粥,角川文庫、角川書店
173,忠義,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房
174,馬の脚,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
175,海のほとり,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房
176,運,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房
177,魚河岸,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
178,芥川竜之介歌集,芥川 竜之介,芥川龍之介全集　第一巻,岩波書店
179,藪の中,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房
180,山鴫,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房
181,槍が岳に登った記,芥川 竜之介,羅生門・鼻・芋粥,角川文庫、角川書店
182,保吉の手帳から,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
183,世之助の話,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
184,妖婆,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房
185,さまよえる猶太人,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房
186,夢,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房
187,百合,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房
188,誘惑,芥川 竜之介,昭和文学全集　第1巻,小学館
189,続芭蕉雑記,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
190,続文芸的な、余りに文芸的な,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
191,続西方の人,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房
192,Alice6,小中 千昭,,
193,尼,ウィード グスターフ,鴎外選集　第14巻,岩波書店
193,尼,森 鴎外,鴎外選集　第14巻,岩波書店
193,尼,森 林太郎,鴎外選集　第14巻,岩波書店
194,マッチ売りの少女,アンデルセン ハンス・クリスチャン,,
194,マッチ売りの少女,大久保 ゆう,,
195,可哀相な姉,渡辺 温,アンドロギュノスの裔,薔薇十字社
196,もう一つの著作権の話,白田 秀彰,,
197,青い顔,三島 霜川,明治文學全集　72　水野葉舟・中村星湖・三島霜川・上司小劍集,筑摩書房
198,青白き夢,素木 しづ,素木しづ作品集,札幌・北書房
199,あらくれ,徳田 秋声,あらくれ,新潮文庫、新潮社
201,或る女,有島 武郎,或る女　前編,岩波文庫、岩波書店
202,或る女,有島 武郎,或る女　後編,岩波文庫、岩波書店
203,僕の帽子のお話,有島 武郎,一房の葡萄　他四篇,岩波文庫、岩波書店
204,カインの末裔,有島 武郎,カインの末裔　クララの出家,岩波文庫、岩波書店
205,私の父と母,有島 武郎,惜しみなく愛は奪う,角川文庫、角川書店
206,小さき者へ,有島 武郎,小さき者へ・生れ出づる悩み,新潮文庫、新潮社
207,二つの道,有島 武郎,惜しみなく愛は奪う,角川文庫、角川書店
208,片信,有島 武郎,惜しみなく愛は奪う,角川文庫、角川書店
209,卑怯者,有島 武郎,カインの末裔,角川文庫、角川書店
210,広津氏に答う,有島 武郎,惜しみなく愛は奪う,角川文庫、角川書店
211,一房の葡萄,有島 武郎,赤い鳥傑作集,新潮文庫、新潮社
212,火事とポチ,有島 武郎,一房の葡萄,角川文庫、角川書店
213,小作人への告別,有島 武郎,惜しみなく愛は奪う,角川文庫、角川書店
214,水野仙子氏の作品について,有島 武郎,叢書「青踏」の女たち　第10巻　水野仙子集,不二出版
215,溺れかけた兄妹,有島 武郎,一房の葡萄　他四篇,岩波文庫、岩波書店
216,星座,有島 武郎,日本文学全集25　有島武郎集,集英社
217,宣言一つ,有島 武郎,惜しみなく愛は奪う,角川文庫、角川書店
218,想片,有島 武郎,惜しみなく愛は奪う,角川文庫、角川書店
219,在りし日の歌,中原 中也,中原中也詩集,岩波文庫、岩波書店
220,或る母の話,渡辺 温,アンドロギュノスの裔,薔薇十字社
221,梓川の上流,小島 烏水,山岳紀行文集　日本アルプス,岩波文庫、岩波書店
222,もう一つのプライバシーの話,白田 秀彰,,
223,晩餐,素木 しづ,素木しづ作品集,札幌・北書房
224,薔薇,ウィード グスターフ,鴎外選集　第14巻,岩波書店
224,薔薇,森 鴎外,鴎外選集　第14巻,岩波書店
224,薔薇,森 林太郎,鴎外選集　第14巻,岩波書店
225,レズビアン・ライフ,早見 秋,レズビアン・ライフ,海越出版社
226,ボヘミアの醜聞,大久保 ゆう,,
226,ボヘミアの醜聞,ドイル アーサー・コナン,,
227,伽藍とバザール,山形 浩生,,
227,伽藍とバザール,レイモンド  エリック,,
228,セメント樽の中の手紙,葉山 嘉樹,全集・現代文学の発見・第一巻　最初の衝撃,学芸書林
229,父を失う話,渡辺 温,アンドロギュノスの裔,薔薇十字社
230,コーヒーメーカー,植松 真人,,
231,コピーライトの史的展開,白田 秀彰,「一橋研究」 19巻4号(1995年1月) から21巻3号(1996年10月)まで不定期連載,
